Condition,Doctor
Alopecia Areata, Dr. Sneha Malhotra (Dermatology)
Alpha-1 Antitrypsin Deficiency, Dr. Rajiv Malhotra (Pulmonology)
Amnesia, Dr. Sameer Kapoor (Neurology)
Androgenetic Alopecia, Dr. Swati Mehta (Dermatology)
Aplastic Anemia, Dr. Aarti Sharma (Hematology)
Barrett's Esophagus, Dr. Vikram Mehta (Gastroenterology)
Bell's Palsy, Dr. Rajeev Malhotra (Neurology)
Benign Prostatic Hyperplasia (BPH), Dr. Vikas Mehta (Urology)
Binge Eating Disorder, Dr. Manoj Kumar (Psychiatry)
Brain Aneurysm, Dr. Sameer Kapoor (Neurology)
Bruxism, Dr. Anjali Desai (Dentistry)
Bulging Disc, Dr. Rajiv Kapoor (Orthopedics)
Candidiasis, Dr. Sneha Malhotra (Infectious Disease)
Carotid Artery Disease, Dr. Vikram Mehta (Cardiology)
Celiac Plexus Block, Dr. Rajeev Malhotra (Pain Management)
Central Sleep Apnea, Dr. Manoj Mehta (Pulmonary Medicine)
Chalazion, Dr. Swati Joshi (Ophthalmology)
Chronic Daily Headaches, Dr. Anjali Desai (Neurology)
Cluster Headaches, Dr. Sameer Kapoor (Neurology)
Cognitive-Behavioral Therapy (CBT), Dr. Manoj Kumar (Psychiatry)
Corneal Ulcer, Dr. Rajiv Malhotra (Ophthalmology)
Craniopharyngioma, Dr. Sameer Kapoor (Neurology)
Cysticercosis, Dr. Manoj Bansal (Infectious Disease)
Dental Abscess, Dr. Anjali Desai (Dentistry)
Diabetic Nephropathy, Dr. Rajeev Mehta (Nephrology)
Diabetic Neuropathy, Dr. Neha Kapoor (Endocrinology)
Diverticulosis, Dr. Vikas Mehta (Gastroenterology)
Down Syndrome, Dr. Nandini Joshi (Genetics)
Dysthymia, Dr. Manoj Kumar (Psychiatry)
Eating Disorders, Dr. Sneha Malhotra (Psychiatry)
Endometrial Cancer, Dr. Priyanka Singh (Gynecologic Oncology)
Erythema Multiforme, Dr. Swati Mehta (Dermatology)
Essential Tremor, Dr. Sameer Kapoor (Neurology)
Exocrine Pancreatic Insufficiency, Dr. Vikram Mehta (Gastroenterology)
Fibrous Dysplasia, Dr. Rohit Kapoor (Orthopedics)
Frozen Shoulder, Dr. Rajiv Kapoor (Orthopedics)
Gastroparesis, Dr. Vikas Verma (Gastroenterology)
Genital Warts, Dr. Swati Joshi (Dermatology)
Gestational Diabetes, Dr. Neha Kapoor (Obstetrics and Gynecology)
Hypertension,Dr.Sukumar Rao (Cardiology)
Diabetes Type 2,Dr.Amita Patel (Endocrinology)
Arthritis,Dr.Rajesh Sharma (Rheumatology)
Asthma,Dr.Neha Kapoor (Pulmonology)
Coronary Artery Disease,Dr.Vikram Singh (Cardiology)
Migraine,Dr.Anjali Desai (Neurology)
Depression,Dr.Arun Kumar (Psychiatry)
Osteoporosis,Dr.Madhuri Reddy (Orthopedics)
Chronic Kidney Disease,Dr.Sanjay Bansal (Nephrology)
Thyroid Disorder,Dr.Nandini Joshi (Endocrinology)
Obesity,Dr.Rahul Verma (Endocrinology)
Rheumatoid Arthritis,Dr.Deepika Mehta (Rheumatology)
COPD,Dr.Kamal Gupta (Pulmonology)
Heart Failure,Dr.Sanjay Sharma (Cardiology)
Epilepsy,Dr.Manoj Mishra (Neurology)
Anxiety Disorder,Dr.Sneha Malhotra (Psychiatry)
Fractured Bones,Dr.Rajiv Kapoor (Orthopedics)
Acute Kidney Injury,Dr.Mohit Gupta (Nephrology)
Type 1 Diabetes,Dr.Anita Bansal (Endocrinology)
Osteoarthritis,Dr.Rajesh Verma (Rheumatology)
Lung Cancer,Dr.Priya Singh (Oncology)
Migraine,Dr.Amit Mehta (Neurology)
Bipolar Disorder,Dr.Neha Malhotra (Psychiatry)
Spinal Cord Injury,Dr.Vinayak Sharma (Neurology)
Celiac Disease,Dr.Swati Kapoor (Gastroenterology)
Chronic Obstructive Lung Disease,Dr.Rahul Singh (Pulmonology)
Congestive Heart Failure,Dr.Mohini Patel (Cardiology)
Pancreatitis,Dr.Vikas Verma (Gastroenterology)
Ovarian Cancer,Dr.Priyanka Singh (Oncology)
Multiple Sclerosis,Dr.Rohit Bansal (Neurology)
Schizophrenia,Dr.Nidhi Sharma (Psychiatry)
ACL Tear,Dr.Rajeev Verma (Orthopedics)
Hashimoto's Thyroiditis,Dr.Suman Joshi (Endocrinology)
Inflammatory Bowel Disease,Dr.Rahul Sharma (Gastroenterology)
Parkinson's Disease,Dr.Sunil Joshi (Neurology)
Major Depressive Disorder,Dr.Manoj Singh (Psychiatry)
Abscess,Dr.Rohit Mehta (Dermatology)
Acne,Dr.Nidhi Kapoor (Dermatology)
Addison's Disease,Dr.Sunil Mehta (Endocrinology)
Agoraphobia,Dr.Arun Mehta (Psychiatry)
Anemia,Dr.Amita Singh (Hematology)
Aneurysm,Dr.Rajesh Mehta (Cardiology)
Ankylosing Spondylitis,Dr.Vikas Sharma (Rheumatology)
Bronchitis,Dr.Manoj Mehta (Pulmonology)
Cancer,Dr.Priyanka Sharma (Oncology)
Carpal Tunnel Syndrome,Dr.Rajeev Kapoor (Orthopedics)
Celiac Disease,Dr.Swati Kapoor (Gastroenterology)
Cerebral Palsy,Dr.Vinayak Sharma (Neurology)
Cleft Lip and Palate,Dr.Amit Verma (Plastic Surgery)
Chronic Kidney Disease,Dr.Sanjay Bansal (Nephrology)
Chronic Obstructive Pulmonary Disease,Dr.Rahul Singh (Pulmonology)
Cirrhosis,Dr.Vikas Kapoor (Gastroenterology)
Colitis,Dr.Manoj Sharma (Gastroenterology)
Congestive Heart Failure,Dr.Mohini Patel (Cardiology)
Conjunctivitis,Dr.Rajiv Malhotra (Ophthalmology)
Constipation,Dr.Rohit Kapoor (Gastroenterology)
Crohn's Disease,Dr.Rahul Sharma (Gastroenterology)
Cystic Fibrosis,Dr.Manoj Mehta (Pulmonary Medicine)
Depression,Dr.Neha Malhotra (Psychiatry)
Diabetes,Dr.Amita Patel (Endocrinology)
Eczema,Dr.Suman Joshi (Dermatology)
Epilepsy,Dr.Manoj Mishra (Neurology)
Fibromyalgia,Dr.Deepika Mehta (Rheumatology)
Glaucoma,Dr.Rajiv Malhotra (Ophthalmology)
Gout,Dr.Rajesh Sharma (Rheumatology)
Headache,Dr.Vikas Sharma (Neurology)
Heart Failure,Dr.Sanjay Sharma (Cardiology)
Hepatitis,Dr.Rahul Kapoor (Gastroenterology)
Herpes,Dr.Swati Mehta (Dermatology)
Hives,Dr.Rohit Mehta (Dermatology)
Hypertension,Dr.Sukumar Rao (Cardiology)
Hyperthyroidism,Dr.Nandini Joshi (Endocrinology)
Hypothyroidism,Dr.Amita Patel (Endocrinology)
Influenza,Dr.Manoj Bansal (Infectious Disease)
Insomnia,Dr.Arun Kumar (Psychiatry)
Irritable Bowel Syndrome,Dr.Rahul Sharma (Gastroenterology)
Knee Pain,Dr.Rajeev Kapoor (Orthopedics)
Lupus,Dr.Aarti Sharma (Rheumatology)
Lyme Disease,Dr.Manoj Bansal (Infectious Disease)
Melanoma,Dr.Priyanka Sharma (Oncology)
Migraine,Dr.Anjali Desai (Neurology)
Multiple Myeloma,Dr.Rohit Bansal (Hematology/Oncology)
Multiple Sclerosis,Dr.Nidhi Malhotra (Neurology)
Muscular Dystrophy,Dr.Vikram Singh (Neurology)
Obesity,Dr.Rahul Verma (Endocrinology)
Obsessive-Compulsive Disorder,Dr.Manoj Kumar (Psychiatry)
Osteoarthritis,Dr.Rajesh Verma (Rheumatology)
Osteoporosis,Dr.Madhuri Reddy (Orthopedics)
Ovarian Cancer,Dr.Priyanka Singh (Oncology)
Parkinson's Disease,Dr.Vinayak Sharma (Neurology)
Pneumonia,Dr.Rahul Singh (Pulmonology)
Prostate Cancer,Dr.Vikram Mehta (Urology)
Psoriasis,Dr.Amit Joshi (Dermatology)
Rheumatoid Arthritis,Dr.Deepika Mehta (Rheumatology)
Sciatica,Dr.Rajeev Kapoor (Orthopedics)
Sickle Cell Disease,Dr.Rohit Bansal (Hematology)
Sinusitis,Dr.Rahul Singh (Pulmonology)
Skin Cancer,Dr.Swati Kapoor (Dermatology)
Sleep Apnea,Dr.Manoj Mehta (Pulmonary Medicine)
Spinal Cord Injury,Dr.Vinayak Sharma (Neurology)
Stroke,Dr.Amita Patel (Neurology)
Tuberculosis,Dr.Manoj Bansal (Infectious Disease)
Ulcerative Colitis,Dr.Swati Kapoor (Gastroenterology)
Urinary Tract Infection,Dr.Vikram Mehta (Urology)
Urticaria,Dr.Rohit Mehta (Dermatology)
West Nile Virus,Dr.Manoj Bansal (Infectious Disease)
Achilles Tendonitis,Dr.Rajeev Kapoor (Orthopedics)
Adrenal Insufficiency,Dr.Nandini Joshi (Endocrinology)
Allergic Rhinitis,Dr.Amit Verma (Allergy and Immunology)
Amyotrophic Lateral Sclerosis (ALS),Dr.Vikram Singh (Neurology)
Anemia,Dr.Amita Singh (Hematology)
Angina,Dr.Vikram Mehta (Cardiology)
Anorexia Nervosa,Dr.Manoj Kumar (Psychiatry)
Anxiety Disorder,Dr.Sneha Malhotra (Psychiatry)
Aortic Stenosis,Dr.Vikram Mehta (Cardiology)
Appendicitis,Dr.Rahul Bansal (Surgery)
Arrhythmia,Dr.Vikram Mehta (Cardiology)
Arthritis,Dr.Rajesh Sharma (Rheumatology)
Asthma,Dr.Neha Kapoor (Pulmonology)
Autism Spectrum Disorder,Dr.Vinayak Sharma (Neurology)
Behçet's Disease,Dr.Deepika Mehta (Rheumatology)
Bladder Cancer,Dr.Vikram Mehta (Urology)
Bone Cancer,Dr.Priyanka Sharma (Oncology)
Bronchitis,Dr.Rahul Singh (Pulmonology)
Bursitis,Dr.Rajeev Kapoor (Orthopedics)
Carpal Tunnel Syndrome,Dr.Rajeev Kapoor (Orthopedics)
Celiac Disease,Dr.Swati Kapoor (Gastroenterology)
Cerebral Palsy,Dr.Vinayak Sharma (Neurology)
Charcot-Marie-Tooth Disease,Dr.Vikram Singh (Neurology)
Cleft Lip and Palate,Dr.Amit Verma (Plastic Surgery)
Chronic Kidney Disease,Dr.Sanjay Bansal (Nephrology)
Chronic Obstructive Pulmonary Disease (COPD),Dr.Rahul Singh (Pulmonology)
Cirrhosis,Dr.Vikas Kapoor (Gastroenterology)
Colitis,Dr.Manoj Sharma (Gastroenterology)
Congenital Heart Disease,Dr.Vikram Mehta (Cardiology)
Conjunctivitis,Dr.Rajiv Malhotra (Ophthalmology)
Constipation,Dr.Rohit Kapoor (Gastroenterology)
Crohn's Disease,Dr.Rahul Sharma (Gastroenterology)
Cystic Fibrosis,Dr.Manoj Mehta (Pulmonary Medicine)
Depression,Dr.Neha Malhotra (Psychiatry)
Diabetes,Dr.Amita Patel (Endocrinology)
Eczema,Dr.Suman Joshi (Dermatology)
Epilepsy,Dr.Manoj Mishra (Neurology)
Erectile Dysfunction,Dr.Vikram Mehta (Urology)
Fibromyalgia,Dr.Deepika Mehta (Rheumatology)
Glaucoma,Dr.Rajiv Malhotra (Ophthalmology)
Gout,Dr.Rajesh Sharma (Rheumatology)
Graves' Disease,Dr.Nandini Joshi (Endocrinology)
Headache,Dr.Vikas Sharma (Neurology)
Heart Failure,Dr.Sanjay Sharma (Cardiology)
Hepatitis,Dr.Rahul Kapoor (Gastroenterology)
Herpes,Dr.Swati Mehta (Dermatology)
Hives,Dr.Rohit Mehta (Dermatology)
Hypertension,Dr.Sukumar Rao (Cardiology)
Hyperthyroidism,Dr.Nandini Joshi (Endocrinology)
Hypothyroidism,Dr.Amita Patel (Endocrinology)
Influenza,Dr.Manoj Bansal (Infectious Disease)
Insomnia,Dr.Arun Kumar (Psychiatry)
Irritable Bowel Syndrome (IBS),Dr.Rahul Sharma (Gastroenterology)
Knee Pain,Dr.Rajeev Kapoor (Orthopedics)
Lupus,Dr.Aarti Sharma (Rheumatology)
Lyme Disease,Dr.Manoj Bansal (Infectious Disease)
Macular Degeneration,Dr.Rajiv Malhotra (Ophthalmology)
Malaria,Dr.Manoj Bansal (Infectious Disease)
Melanoma,Dr.Priyanka Sharma (Oncology)
Migraine,Dr.Anjali Desai (Neurology)
Multiple Myeloma,Dr.Rohit Bansal (Hematology/Oncology)
Multiple Sclerosis,Dr.Nidhi Malhotra (Neurology)
Muscular Dystrophy,Dr.Vikram Singh (Neurology)
Obesity,Dr.Rahul Verma (Endocrinology)
Obsessive-Compulsive Disorder (OCD),Dr.Manoj Kumar (Psychiatry)
Osteoarthritis,Dr.Rajesh Verma (Rheumatology)
Osteoporosis,Dr.Madhuri Reddy (Orthopedics)
Ovarian Cancer,Dr.Priyanka Singh (Oncology)
Pancreatitis,Dr.Vikas Verma (Gastroenterology)
Parkinson's Disease,Dr.Vinayak Sharma (Neurology)
Pneumonia,Dr.Rahul Singh (Pulmonology)
Prostate Cancer,Dr.Vikram Mehta (Urology)
Psoriasis,Dr.Amit Joshi (Dermatology)
Pulmonary Embolism,Dr.Rahul Singh (Pulmonology)
Rheumatoid Arthritis,Dr.Deepika Mehta (Rheumatology)
Sciatica,Dr.Rajeev Kapoor (Orthopedics)
Sickle Cell Disease,Dr.Rohit Bansal (Hematology)
Sinusitis,Dr.Rahul Singh (Pulmonology)
Skin Cancer,Dr.Swati Kapoor (Dermatology)
Sleep Apnea,Dr.Manoj Mehta (Pulmonary Medicine)
Spinal Cord Injury,Dr.Vinayak Sharma (Neurology)
Stroke,Dr.Amita Patel (Neurology)
Tuberculosis (TB),Dr.Manoj Bansal (Infectious Disease)
Ulcerative Colitis,Dr.Swati Kapoor (Gastroenterology)
Urinary Tract Infection (UTI),Dr.Vikram Mehta (Urology)
Urticaria (Hives),Dr.Rohit Mehta (Dermatology)
West Nile Virus,Dr.Manoj Bansal (Infectious Disease)
Acid Reflux,Dr.Rahul Kapoor (Gastroenterology)
Acne Rosacea,Dr.Nidhi Kapoor (Dermatology)
Actinomycosis,Dr.Manoj Bansal (Infectious Disease)
Addison's Disease,Dr.Nandini Joshi (Endocrinology)
Agoraphobia,Dr.Sneha Malhotra (Psychiatry)
Airway Hyperresponsiveness,Dr.Rahul Singh (Pulmonary Medicine)
Alcoholic Hepatitis,Dr.Rahul Kapoor (Gastroenterology)
Alzheimer's Disease,Dr.Vinayak Sharma (Neurology)
Amyloidosis,Dr.Sanjay Bansal (Nephrology)
Ankylosing Spondylitis,Dr.Rajesh Sharma (Rheumatology)
Anthrax,Dr.Manoj Bansal (Infectious Disease)
Antiphospholipid Syndrome,Dr.Deepika Mehta (Rheumatology)
Anxiety Disorder,Dr.Sneha Malhotra (Psychiatry)
Apnea,Dr.Rahul Singh (Pulmonary Medicine)
Arrhythmia,Dr.Vikram Mehta (Cardiology)
Arterial Thrombosis,Dr.Vikram Mehta (Cardiology)
Arthritis,Dr.Rajesh Sharma (Rheumatology)
Asthma,Dr.Neha Kapoor (Pulmonology)
Atherosclerosis,Dr.Vikram Mehta (Cardiology)
Autism Spectrum Disorder,Dr.Vinayak Sharma (Neurology)
Autoimmune Disease,Dr.Rajesh Sharma (Rheumatology)
Back Pain,Dr.Rajeev Kapoor (Orthopedics)
Bacteremia,Dr.Manoj Bansal (Infectious Disease)
Bell's Palsy,Dr.Vinayak Sharma (Neurology)
Benign Prostatic Hyperplasia (BPH),Dr.Vikram Mehta (Urology)
Bipolar Disorder,Dr.Sneha Malhotra (Psychiatry)
Borderline Personality Disorder,Dr.Sneha Malhotra (Psychiatry)
Bronchiectasis,Dr.Rahul Singh (Pulmonary Medicine)
Bronchitis,Dr.Rahul Singh (Pulmonology)
Brucellosis,Dr.Manoj Bansal (Infectious Disease)
Bulimia Nervosa,Dr.Manoj Kumar (Psychiatry)
Bursitis,Dr.Rajeev Kapoor (Orthopedics)
Carpal Tunnel Syndrome,Dr.Rajeev Kapoor (Orthopedics)
Cataracts,Dr.Rajiv Malhotra (Ophthalmology)
Celiac Disease,Dr.Swati Kapoor (Gastroenterology)
Cerebral Palsy,Dr.Vinayak Sharma (Neurology)
Charcot-Marie-Tooth Disease,Dr.Vikram Singh (Neurology)
Chlamydial Infection,Dr.Manoj Bansal (Infectious Disease)
Chronic Fatigue Syndrome,Dr.Deepika Mehta (Rheumatology)
Chronic Kidney Disease (CKD),Dr.Sanjay Bansal (Nephrology)
Chronic Obstructive Pulmonary Disease (COPD),Dr.Rahul Singh (Pulmonology)
Cirrhosis,Dr.Rahul Kapoor (Gastroenterology)
Colitis,Dr.Manoj Sharma (Gastroenterology)
Congenital Heart Disease,Dr.Amit Verma (Pediatric Cardiology)
Conjunctivitis (Pink Eye),Dr.Rajiv Malhotra (Ophthalmology)
Constipation,Dr.Rohit Kapoor (Gastroenterology)
Crohn's Disease,Dr.Rahul Sharma (Gastroenterology)
Cystic Fibrosis,Dr.Manoj Mehta (Pulmonary Medicine)
Depression,Dr.Neha Malhotra (Psychiatry)
Diabetes,Dr.Amita Patel (Endocrinology)
Diverticulitis,Dr.Rahul Sharma (Gastroenterology)
Eczema,Dr.Suman Joshi (Dermatology)
Edema,Dr.Sanjay Bansal (Nephrology)
Emphysema,Dr.Rahul Singh (Pulmonary Medicine)
Encephalitis,Dr.Vinayak Sharma (Neurology)
Endometriosis,Dr.Amita Sharma (Gynecology)
Epilepsy,Dr.Manoj Mishra (Neurology)
Erectile Dysfunction,Dr.Vikram Mehta (Urology)
Fibromyalgia,Dr.Deepika Mehta (Rheumatology)
Glaucoma,Dr.Rajiv Malhotra (Ophthalmology)
Gout,Dr.Rajesh Sharma (Rheumatology)
Graves' Disease,Dr.Nandini Joshi (Endocrinology)
Head and Neck Cancer,Dr.Priyanka Sharma (Oncology)
Headache,Dr.Vikas Sharma (Neurology)
Heart Failure,Dr.Sanjay Sharma (Cardiology)
Hepatitis,Dr.Rahul Kapoor (Gastroenterology)
Herniated Disc,Dr.Rajiv Kapoor (Orthopedics)
Herpes,Dr.Manoj Bansal (Infectious Disease)
HIV/AIDS,Dr.Manoj Bansal (Infectious Disease)
Huntington's Disease,Dr.Vinayak Sharma (Neurology)
Hypoglycemia,Dr.Nandini Joshi (Endocrinology)
Hypothyroidism,Dr.Amita Patel (Endocrinology)
Irritable Bowel Syndrome (IBS),Dr.Rahul Sharma (Gastroenterology)
Kidney Stones,Dr.Sanjay Bansal (Nephrology)
Knee Pain,Dr.Rajeev Kapoor (Orthopedics)
Leukemia,Dr.Rohit Bansal (Hematology/Oncology)
Lupus,Dr.Aarti Sharma (Rheumatology)
Lyme Disease,Dr.Manoj Bansal (Infectious Disease)
Macular Degeneration,Dr.Rajiv Malhotra (Ophthalmology)
Malaria,Dr.Manoj Bansal (Infectious Disease)
Melanoma,Dr.Priyanka Sharma (Oncology)
Migraine,Dr.Anjali Desai (Neurology)
Multiple Myeloma,Dr.Rohit Bansal (Hematology/Oncology)
Multiple Sclerosis (MS),Dr.Nidhi Malhotra (Neurology)
Muscular Dystrophy,Dr.Vikram Singh (Neurology)
Myocardial Infarction (Heart Attack),Dr.Vikram Mehta (Cardiology)
Myocarditis,Dr.Vikram Mehta (Cardiology)
Obesity,Dr.Rahul Verma (Endocrinology)
Obsessive-Compulsive Disorder (OCD),Dr.Manoj Kumar (Psychiatry)
Osteoarthritis,Dr.Rajesh Verma (Rheumatology)
Osteoporosis,Dr.Madhuri Reddy (Orthopedics)
Ovarian Cancer,Dr.Priyanka Singh (Gynecologic Oncology)
Pancreatitis,Dr.Vikas Verma (Gastroenterology)
Parkinson's Disease,Dr.Vinayak Sharma (Neurology)
Pneumonia,Dr.Rahul Singh (Pulmonology)
Post-Traumatic Stress Disorder (PTSD),Dr.Manoj Kumar (Psychiatry)
Prostate Cancer,Dr.Vikram Mehta (Urology)
Psoriasis,Dr.Amit Joshi (Dermatology)
Pulmonary Embolism (PE),Dr.Rahul Singh (Pulmonology)
Rheumatoid Arthritis (RA),Dr.Deepika Mehta (Rheumatology)
Sciatica,Dr.Rajeev Kapoor (Orthopedics)
Sickle Cell Disease,Dr.Rohit Bansal (Hematology)
Sinusitis,Dr.Rahul Singh (Pulmonology)
Skin Cancer,Dr.Swati Kapoor (Dermatology)
Sleep Apnea,Dr.Manoj Mehta (Pulmonary Medicine)
Stomach Ulcer, Dr. Anusha Patel (Gastroenterology)
Tourette Syndrome, Dr. Sameer Kapoor (Neurology)
Ulcerative Colitis, Dr. Priya Sharma (Gastroenterology)
Varicose Veins, Dr. Vikram Verma (Vascular Surgery)
Vertigo, Dr. Neha Malhotra (Neurology)
Vitamin D Deficiency, Dr. Rajeev Mehta (Endocrinology)
Whooping Cough, Dr. Manish Bansal (Infectious Disease)
Xeroderma Pigmentosum, Dr. Sneha Malhotra (Dermatology)
Yellow Fever, Dr. Rahul Singh (Infectious Disease)
Zika Virus, Dr. Swati Kapoor (Infectious Disease)
Achondroplasia, Dr. Aarti Sharma (Genetics)
Bacterial Vaginosis, Dr. Nidhi Joshi (Gynecology)
Carpal Tunnel Syndrome, Dr. Rajiv Malhotra (Orthopedics)
Dengue Fever, Dr. Amit Verma (Infectious Disease)
Ehlers-Danlos Syndrome, Dr. Deepika Mehta (Rheumatology)
Fatty Liver Disease, Dr. Rahul Kapoor (Gastroenterology)
Gastroesophageal Reflux Disease (GERD), Dr. Rohit Mehta (Gastroenterology)
Hemorrhoids, Dr. Priyanka Sharma (Colorectal Surgery)
Interstitial Cystitis, Dr. Vikram Mehta (Urology)
Juvenile Rheumatoid Arthritis, Dr. Rajesh Sharma (Rheumatology)
Kawasaki Disease, Dr. Neha Kapoor (Pediatric Cardiology)
Labyrinthitis, Dr. Vinayak Sharma (Neurology)
Menopause, Dr. Aarti Sharma (Gynecology)
Narcolepsy, Dr. Sanjay Bansal (Neurology)
Ovarian Cyst, Dr. Swati Kapoor (Gynecology)
Paget's Disease of Bone, Dr. Rohit Kapoor (Orthopedics)
Quinsy, Dr. Rahul Verma (Otolaryngology)
Restless Legs Syndrome, Dr. Anjali Desai (Neurology)
Sarcoidosis, Dr. Manoj Bansal (Pulmonology)
Temporal Arteritis, Dr. Sneha Malhotra (Rheumatology)
Umbilical Hernia, Dr. Rajeev Kapoor (Surgery)
Vasculitis, Dr. Vikram Verma (Rheumatology)
Wegener's Granulomatosis, Dr. Neha Malhotra (Rheumatology)
Xanthelasma, Dr. Swati Mehta (Dermatology)
Yersinia Infection, Dr. Rahul Singh (Infectious Disease)
Zollinger-Ellison Syndrome, Dr. Vikas Verma (Gastroenterology)
Achilles Tendonitis, Dr. Vikas Mehta (Orthopedics)
Addison's Disease, Dr. Neha Kapoor (Endocrinology)
Allergic Rhinitis, Dr. Rohit Mehta (Allergy and Immunology)
Amyotrophic Lateral Sclerosis (ALS), Dr. Sameer Kapoor (Neurology)
Anemia, Dr. Aarti Sharma (Hematology)
Angina, Dr. Rahul Singh (Cardiology)
Anorexia Nervosa, Dr. Sneha Malhotra (Psychiatry)
Aortic Stenosis, Dr. Vikram Mehta (Cardiology)
Appendicitis, Dr. Manoj Mishra (Surgery)
Arrhythmia, Dr. Vikram Mehta (Cardiology)
Arthritis, Dr. Rohit Kapoor (Rheumatology)
Asthma, Dr. Neha Kapoor (Pulmonology)
Autism Spectrum Disorder, Dr. Vinayak Sharma (Neurology)
Behçet's Disease, Dr. Sneha Malhotra (Rheumatology)
Bladder Cancer, Dr. Priyanka Singh (Urology)
Bone Cancer, Dr. Rohit Bansal (Oncology)
Bronchitis, Dr. Rahul Singh (Pulmonology)
Bursitis, Dr. Vikas Mehta (Orthopedics)
Carpal Tunnel Syndrome, Dr. Rajeev Kapoor (Orthopedics)
Celiac Disease, Dr. Swati Kapoor (Gastroenterology)
Cerebral Palsy, Dr. Vinayak Sharma (Neurology)
Charcot-Marie-Tooth Disease, Dr. Vikram Singh (Neurology)
Chlamydial Infection, Dr. Manoj Bansal (Infectious Disease)
Chronic Fatigue Syndrome, Dr. Deepika Mehta (Rheumatology)
Chronic Kidney Disease (CKD), Dr. Sanjay Bansal (Nephrology)
Chronic Obstructive Pulmonary Disease (COPD), Dr. Rahul Singh (Pulmonology)
Colorectal Cancer, Dr. Priyanka Sharma (Oncology)
Congenital Heart Disease, Dr. Amit Verma (Pediatric Cardiology)
Conjunctivitis, Dr. Rajiv Malhotra (Ophthalmology)
Constipation, Dr. Rohit Kapoor (Gastroenterology)
Crohn's Disease, Dr. Rahul Sharma (Gastroenterology)
Cystic Fibrosis, Dr. Manoj Mehta (Pulmonary Medicine)
Depression, Dr. Neha Malhotra (Psychiatry)
Diabetes Insipidus, Dr. Amita Patel (Endocrinology)
Diverticulitis, Dr. Vikas Mehta (Gastroenterology)
Dyslexia, Dr. Anjali Desai (Neurology)
Endometriosis, Dr. Aarti Sharma (Gynecology)
Erectile Dysfunction, Dr. Vikram Mehta (Urology)
Esophageal Cancer, Dr. Rahul Kapoor (Gastroenterology)
Fibromyalgia, Dr. Deepika Mehta (Rheumatology)
Galactorrhea, Dr. Nidhi Joshi (Endocrinology)
Gallstones, Dr. Rahul Kapoor (Gastroenterology)
Gastritis, Dr. Neha Kapoor (Gastroenterology)
Gastroenteritis, Dr. Vikas Verma (Infectious Disease)
Glaucoma, Dr. Rajiv Malhotra (Ophthalmology)
Gout, Dr. Rohit Kapoor (Rheumatology)
Graves' Disease, Dr. Nandini Joshi (Endocrinology)
Guillain-Barré Syndrome, Dr. Vinayak Sharma (Neurology)
Hashimoto's Thyroiditis, Dr. Amita Patel (Endocrinology)
Hemochromatosis, Dr. Aarti Sharma (Hematology)
Hemorrhoids, Dr. Rajesh Verma (Colorectal Surgery)
Hepatitis, Dr. Rahul Kapoor (Gastroenterology)
Herniated Disc, Dr. Rajiv Kapoor (Orthopedics)
Herpes Zoster (Shingles), Dr. Sneha Malhotra (Dermatology)
HIV/AIDS, Dr. Manoj Bansal (Infectious Disease)
Huntington's Disease, Dr. Vinayak Sharma (Neurology)
Hydrocephalus, Dr. Sameer Kapoor (Neurology)
Hyperthyroidism, Dr. Amita Patel (Endocrinology)
Hypothyroidism, Dr. Nandini Joshi (Endocrinology)
Inflammatory Bowel Disease (IBD), Dr. Rohit Mehta (Gastroenterology)
Insomnia, Dr. Neha Malhotra (Psychiatry)
Interstitial Cystitis, Dr. Vikram Mehta (Urology)
Irritable Bowel Syndrome (IBS), Dr. Rajesh Sharma (Gastroenterology)
Jaundice, Dr. Rahul Kapoor (Gastroenterology)
Kidney Stones, Dr. Sanjay Bansal (Nephrology)
Klinefelter Syndrome, Dr. Aarti Sharma (Endocrinology)
Lactose Intolerance, Dr. Neha Kapoor (Gastroenterology)
Laryngitis, Dr. Rajeev Kapoor (Otolaryngology)
Leukemia, Dr. Rohit Bansal (Hematology/Oncology)
Lupus, Dr. Aarti Sharma (Rheumatology)
Lyme Disease, Dr. Manoj Bansal (Infectious Disease)
Macular Degeneration, Dr. Rajiv Malhotra (Ophthalmology)
Malaria, Dr. Manoj Bansal (Infectious Disease)
Melanoma, Dr. Priyanka Sharma (Oncology)
Migraine, Dr. Anjali Desai (Neurology)
Mitral Valve Prolapse, Dr. Sanjay Sharma (Cardiology)
Multiple Sclerosis (MS), Dr. Nidhi Malhotra (Neurology)
Myasthenia Gravis, Dr. Vinayak Sharma (Neurology)
Nephrotic Syndrome, Dr. Sanjay Bansal (Nephrology)
Galactorrhea, Dr. Nidhi Joshi (Endocrinology)
Gallstones, Dr. Rahul Kapoor (Gastroenterology)
Gastritis, Dr. Neha Kapoor (Gastroenterology)
Gastroenteritis, Dr. Vikas Verma (Infectious Disease)
Glaucoma, Dr. Rajiv Malhotra (Ophthalmology)
Gout, Dr. Rohit Kapoor (Rheumatology)
Graves' Disease, Dr. Nandini Joshi (Endocrinology)
Guillain-Barré Syndrome, Dr. Vinayak Sharma (Neurology)
Hashimoto's Thyroiditis, Dr. Amita Patel (Endocrinology)
Hemochromatosis, Dr. Aarti Sharma (Hematology)
